50
6
1
7
9999
322	0
322	0
322	0
322	0
322	0
322	0
322	0
287.0	199.0	0	8.0	0	9999	80000.0	800.0
178.0	319.0	0	10	1.0	20	0.0
153.0	629.0	0	30	4.0	45	0.0
571.0	126.0	0	30	2.0	45	0.0
802.0	651.0	0	7	3.0	14	0.0
33.0	621.0	0	26	1.0	39	0.0
534.0	803.0	0	80	1.0	96	0.0
498.0	247.0	0	110	3.0	132	0.0
955.0	476.0	0	13	3.0	26	0.0
748.0	389.0	0	95	4.0	114	0.0
554.0	203.0	0	88	2.0	110	0.0
890.0	28.0	0	76	3.0	95	0.0
624.0	901.0	0	42	4.0	63	0.0
842.0	426.0	0	95	1.0	114	0.0
159.0	142.0	0	38	1.0	57	0.0
212.0	947.0	0	10	3.0	15	0.0
714.0	410.0	0	22	3.0	44	0.0
130.0	131.0	0	75	1.0	90	0.0
90.0	885.0	0	14	2.0	28	0.0
274.0	92.0	0	24	1.0	30	0.0
2.0	162.0	0	38	2.0	57	0.0
414.0	71.0	0	28	3.0	42	0.0
26.0	365.0	0	90	3.0	108	0.0
709.0	253.0	0	72	4.0	90	0.0
937.0	135.0	0	16	4.0	24	0.0
239.0	783.0	0	115	3.0	138	0.0
180.0	455.0	0	22	1.0	44	0.0
317.0	349.0	0	110	3.0	132	0.0
886.0	452.0	0	75	2.0	90	0.0
652.0	808.0	0	35	3.0	42	0.0
150.0	931.0	0	14	4.0	28	0.0
681.0	651.0	0	24	4.0	48	0.0
385.0	215.0	0	36	2.0	45	0.0
387.0	679.0	0	65	1.0	78	0.0
499.0	908.0	0	44	3.0	55	0.0
147.0	250.0	0	60	2.0	75	0.0
587.0	860.0	0	88	3.0	110	0.0
845.0	471.0	0	65	4.0	78	0.0
590.0	505.0	0	70	4.0	84	0.0
955.0	600.0	0	21	2.0	42	0.0
556.0	817.0	0	24	1.0	36	0.0
148.0	755.0	0	18	4.0	27	0.0
983.0	462.0	0	96	3.0	120	0.0
408.0	951.0	0	32	4.0	40	0.0
141.0	632.0	0	85	3.0	102	0.0
564.0	439.0	0	34	1.0	51	0.0
252.0	824.0	0	25	3.0	30	0.0
488.0	688.0	0	10	4.0	15	0.0
464.0	702.0	0	40	2.0	60	0.0
961.0	987.0	0	76	2.0	95	0.0
126.0	954.0	0	22	4.0	33	0.0
10	10	10	10	10	10	
15	15	15	15	15	15	
15	15	15	15	15	15	
7	7	7	7	7	7	
13	13	13	13	13	13	
16	16	16	16	16	16	
22	22	22	22	22	22	
13	13	13	13	13	13	
19	19	19	19	19	19	
22	22	22	22	22	22	
19	19	19	19	19	19	
21	21	21	21	21	21	
19	19	19	19	19	19	
19	19	19	19	19	19	
5	5	5	5	5	5	
22	22	22	22	22	22	
15	15	15	15	15	15	
14	14	14	14	14	14	
6	6	6	6	6	6	
19	19	19	19	19	19	
14	14	14	14	14	14	
18	18	18	18	18	18	
18	18	18	18	18	18	
8	8	8	8	8	8	
23	23	23	23	23	23	
22	22	22	22	22	22	
22	22	22	22	22	22	
15	15	15	15	15	15	
7	7	7	7	7	7	
14	14	14	14	14	14	
24	24	24	24	24	24	
9	9	9	9	9	9	
13	13	13	13	13	13	
11	11	11	11	11	11	
15	15	15	15	15	15	
22	22	22	22	22	22	
13	13	13	13	13	13	
14	14	14	14	14	14	
21	21	21	21	21	21	
12	12	12	12	12	12	
9	9	9	9	9	9	
24	24	24	24	24	24	
8	8	8	8	8	8	
17	17	17	17	17	17	
17	17	17	17	17	17	
5	5	5	5	5	5	
5	5	5	5	5	5	
20	20	20	20	20	20	
19	19	19	19	19	19	
11	11	11	11	11	11	
